daterecorded,user_comment,altitude,general_condition,precipitation_amount,fog_thickness,longitude,thunderstorm_intensity,windy,precipitation_type,latitude,cloud_type,precipitation_unit,tzoffset
1401660609528,-,0.0,Precipitation,0.0,-,-2.9009521,-,-,Rain,53.2598634,-,-,3600000
1401660883490,-,0.0,Cloudy,0.0,Light Fog,-68.3339937,Infrequent Lightning,2,Rain,12.2365259,Mostly Cloudy,-,-14400000
1401661384432,-,0.0,Clear,0.0,-,-77.1183366,-,-,-,38.9463558,-,-,-14400000
1401661471529,-,0.0,Clear,0.0,-,-122.3402538,-,1,-,47.5054427,-,-,-25200000
1401661574039,-,0.0,Clear,0.0,-,-122.4523601,-,0,-,48.9602729,-,-,-25200000
1401661603469,-,0.0,Clear,0.0,-,-73.6009367,-,1,-,45.5231487,-,-,-14400000
1401661879896,-,0.0,Cloudy,0.0,-,151.198488,-,0,-,-33.8765409,Very Cloudy,-,36000000
1401661911253,-,0.0,Cloudy,0.0,-,-81.7963689,-,0,-,30.1839221,Very Cloudy,-,-14400000
1401662011550,-,0.0,Clear,0.0,-,-122.7894575,-,0,-,45.4199153,-,-,-25200000
1401662521888,-,0.0,Cloudy,0.0,-,-2.9009538,-,-,-,53.2598558,Very Cloudy,-,3600000
1401662579976,-,0.0,Cloudy,0.0,-,-87.6595298,-,1,-,41.8603627,Mostly Cloudy,-,-18000000
1401662612981,-,0.0,Cloudy,0.0,-,-76.9982258,-,1,-,38.8914404,Partly Cloudy,-,-14400000
1401662685157,-,0.0,Cloudy,0.0,Light Fog,-73.6814497,-,1,-,45.5051571,Partly Cloudy,-,-14400000
1401662775504,-,0.0,Cloudy,0.0,-,151.1852355,-,-,-,-33.8049824,Mostly Cloudy,-,36000000
1401663132598,-,0.0,Cloudy,0.0,-,-94.6773975,-,1,-,38.969916,Mostly Cloudy,-,-18000000
1401663280654,-,0.0,Clear,0.0,-,-87.6554422,-,1,-,41.9533986,Mostly Cloudy,-,-18000000
1401663565747,-,0.0,Clear,0.0,-,-78.8540069,-,0,-,36.236302,-,-,-14400000
1401664063217,-,0.0,Cloudy,0.0,-,151.1892069,-,0,-,-33.9250487,Mostly Cloudy,-,36000000
1401664093357,-,0.0,Clear,0.0,-,-73.9714649,-,-,-,40.6363799,Mostly Cloudy,-,-14400000
1401664208343,-,0.0,Clear,0.0,-,-94.6075254,-,1,-,39.0679901,-,-,-18000000
1401664358517,-,0.0,Clear,0.0,-,-122.3380924,-,0,-,47.6162981,-,-,-25200000
1401664360845,-,0.0,Cloudy,0.0,-,-103.7324162,-,0,-,38.0550359,Mostly Cloudy,-,-21600000
1401664512781,-,0.0,Clear,0.0,-,-78.9381176,-,0,-,36.2514414,-,-,-14400000
1401664587480,-,0.0,Clear,0.0,-,-77.0362242,-,0,-,39.0152445,-,-,-14400000
1401664809248,-,0.0,Cloudy,0.0,-,-88.9128404,-,0,-,37.893799,Mostly Cloudy,-,-18000000
1401665229499,-,0.0,Clear,0.0,-,-74.0191327,-,0,-,41.9233306,-,-,-14400000
1401665331732,-,0.0,Cloudy,0.0,-,-87.6839933,-,3,-,42.0295881,Partly Cloudy,-,-18000000
1401666107189,-,0.0,Clear,0.0,-,-97.8709593,-,0,-,30.5240192,Mostly Cloudy,-,-18000000
1401666343104,-,0.0,Clear,0.0,-,-73.9504513,-,-,-,40.586431,-,-,-14400000
1401666496916,-,0.0,Clear,0.0,-,-122.4770332,-,0,-,47.1946735,Mostly Cloudy,-,-25200000
1401666798777,-,0.0,Clear,0.0,-,-122.3160413,-,-,-,47.59914,-,-,-25200000
1401667257467,-,0.0,Cloudy,0.0,-,-94.6917923,-,1,-,38.9756478,Partly Cloudy,-,-18000000
1401667547613,-,0.0,Clear,0.0,-,-117.112802,-,1,-,32.76045,-,-,-25200000
1401668171200,-,0.0,Cloudy,0.0,-,-73.6008961,-,1,-,45.5231666,Partly Cloudy,-,-14400000
1401668327545,-,0.0,Clear,0.0,-,-122.3739446,-,-,-,47.5138394,-,-,-25200000
1401668945562,-,0.0,Clear,0.0,-,-97.7727223,-,-,-,30.4301617,-,-,-18000000
1401669060590,-,0.0,Cloudy,0.0,-,-94.6364478,-,1,-,38.9490872,Mostly Cloudy,-,-18000000
1401669122206,-,0.0,Cloudy,0.0,-,-112.8212073,-,1,-,49.6907103,Partly Cloudy,-,-21600000
1401669270609,-,0.0,Clear,0.0,-,-122.3712644,-,0,-,47.6664776,-,-,-25200000
1401669362724,-,0.0,Precipitation,0.0,-,-90.5025757,-,0,Rain,14.5856756,-,-,-21600000
1401669471017,-,0.0,Cloudy,0.0,-,-82.3997143,-,0,-,28.0621364,Mostly Cloudy,-,-14400000
1401669488720,-,0.0,Cloudy,0.0,-,151.2059968,-,-,-,-33.8374399,Mostly Cloudy,-,36000000
1401669499955,-,0.0,Clear,0.0,-,-122.4711195,-,-,-,47.5059644,-,-,-25200000
1401669518407,-,0.0,Clear,0.0,-,-122.3710997,-,0,-,47.698167,-,-,-25200000
1401669607557,-,0.0,Precipitation,1.0,-,-80.9912999,-,1,Rain,8.0856199,-,-,-18000000
1401669775930,-,0.0,Clear,0.0,-,132.4670536,-,-,-,34.3921359,-,-,-25200000
1401669898853,-,0.0,Clear,0.0,-,-117.0745772,-,1,-,32.7644665,-,-,-25200000
